città;doc_id;URL
Genova;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Genova;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Gorizia;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Grosseto;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Grosseto;text45;https://www.ilfattoquotidiano.it/2023/04/11/la-sfida-della-toscana-rilanciare-in-chiave-smart-economia-dei-territori-e-stili-di-vita/7120957/
Grottammare;text129;https://www.ilrestodelcarlino.it/marche/economia/turismo-spot-video-regione-p2rx3kgc
Jesi;text147;https://www.adnkronos.com/nomadi-digitali-consigli-pratici-per-guadagnare-con-linsegnamento-online-senza-smettere-di-viaggiare_6oAhgZXgKa2Wlu5AB4OFp6
Lamezia Terme;text125;https://www.giornaledicalabria.it/?p=299300
Lecce;text97;https://www.adnkronos.com/immediapress/ict/franco-di-cicco-la-puglia-territorio-ideale-per-una-nuova-silicon-valley_49BgS8afKcDPyGcjJ46mtC
Lerici;text105;https://www.ligurianotizie.it/nomadi-digitali-anche-la-liguria-tra-le-migliori-mete-per-lo-smart-working/2022/12/05/522636/
Livorno;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Lucca;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Matera;text41;https://www.lagazzettadelmezzogiorno.it/news/matera/1348013/irsina-accoglie-i-nomadi-digitali-il-telelavoro-per-ripopolare-i-borghi.html
Melfi;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Milano;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
Milano;text154;https://www.corriere.it/economia/lavoro/22_maggio_06/smart-working-l-imprenditore-che-lavora-camper-il-mio-ufficio-vista-mare-bb93482e-cc75-11ec-b523-191019bfc881.shtml
Milano;text66;https://www.adnkronos.com/Archivio/lavoro/dati/remote-worker-e-over-35-i-nomadi-digitali-promuovono-litalia_6bMz6FQE7uXtwZCGxpWocN
Milano;text9;https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Milano;text100;https://www.tgcom24.mediaset.it/magazine/nomadi-digitali-la-storia-di-grazia-addio-ufficio-e-routine-ora-lavoro-viaggiando_61635214-202302k.shtml
Milano;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Milano;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Milano;text91;https://www.ansa.it/sito/notizie/economia/2022/04/08/turismo-cresce-tribu-nomadi-digitali-3-su-4-scelgono-il-sud_64da9400-4c5f-4c19-bf8a-633b48c21156.html
Milano;text119;https://www.ansa.it/umbria/notizie/2023/09/30/il-parco-termale-a-san-gemini-potrebbe-arrivare-in-2-3-anni_94f0e77c-b836-47bf-b2f3-93e869301543.html
Milano;text108;https://www.tgcom24.mediaset.it/tgcomlab/affitti-brevi-italianway-lancia-la-startupbuytorent_34431872-202102k.shtml
Milano;text94;https://www.ilsole24ore.com/art/bologna-nhood-vince-bando-riqualificare-scalo-ravone-prati-AGwUp1F
Milano;text25;https://www.lasicilia.it/viaggiturismo/cresce-la-tribu-dei-nomadi-digitali-e-3-su-4-scelgono-il-sud-italia-1219435/
Milano;text72;https://www.wallstreetitalia.com/smart-working-in-un-luogo-di-vacanza-le-migliori-destinazioni-del-2023/
Milano;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Modena;text155;https://www.ilsole24ore.com/art/trento-e-pescara-l-accoppiata-vincente-sviluppo-ecosostenibile-AEoLwhcB
Modena;text141;https://www.ilrestodelcarlino.it/modena/cronaca/ferie-con-airbnb-impennata-del-37-degli-alloggi-privati-timori-per-gli-affitti-acd306f5
Monopoli;text85;https://bari.repubblica.it/cronaca/2023/09/21/news/nei_locali_dellex_istituto_nautico_apre_lostabile_sara_la_casa_dei_nomadi_digitali-415317861/?rss
Napoli;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
Napoli;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Napoli;text154;https://www.corriere.it/economia/lavoro/22_maggio_06/smart-working-l-imprenditore-che-lavora-camper-il-mio-ufficio-vista-mare-bb93482e-cc75-11ec-b523-191019bfc881.shtml
Napoli;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Napoli;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Napoli;text113;https://www.ilsole24ore.com/art/dai-borghi-giardini-storici-assegnati-18-miliardi-euro-investimenti-culturali-AEgG46hB
Nicosia;text72;https://www.wallstreetitalia.com/smart-working-in-un-luogo-di-vacanza-le-migliori-destinazioni-del-2023/
Novara;text137;https://www.varesenews.it/2022/11/cultura-turismo-punti-forza-della-regio-insubrica-prossimo-interreg/1520175/
Nuoro;text70;https://www.tgcom24.mediaset.it/cronaca/ollolai-nuoro-prima-nomade-digitale_69330951-202302k.shtml
Nuoro;text44;https://www.ilsole24ore.com/art/la-scrivania-vista-e-offerta-libera-ecco-dove-fare-smart-working-aziende-agricole-ADuIcNGB
Orvieto;text112;https://www.lanazione.it/umbria/cronaca/capitale-della-cultura-non-disperdere-i-progetti-in-cantiere-9c975589
Orvieto;text90;https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Ostuni;text97;https://www.adnkronos.com/immediapress/ict/franco-di-cicco-la-puglia-territorio-ideale-per-una-nuova-silicon-valley_49BgS8afKcDPyGcjJ46mtC
Ostuni;text64;https://www.lagazzettadelmezzogiorno.it/news/brindisi/1387899/ostuni-destagionalizza-grazie-ai-nomadi-digitali.html
Padova;text113;https://www.ilsole24ore.com/art/dai-borghi-giardini-storici-assegnati-18-miliardi-euro-investimenti-culturali-AEgG46hB
Palermo;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Palermo;text9;https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Palermo;text99;https://www.ildenaro.it/lavoro-4-0-dove-vanno-i-nomadi-digitali-anche-litalia-tra-le-destinazioni-piu-ambite/
Palermo;text89;https://palermo.repubblica.it/cronaca/2023/10/31/news/un_ostello_da_200_posti_nellex_centrale_elettrica_di_palermo_sara_pronto_entro_lanno-419242160/?rss
Palermo;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Palermo;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Palermo;text58;https://www.ansa.it/sito/notizie/economia/2022/04/29/nomadi-digitali-una-norma-per-lanciare-trend-in-italia_85da3e80-73fa-4b02-9d86-1104db723e2f.html
Parma;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Parma;text90;https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Pavia;text119;https://www.ansa.it/umbria/notizie/2023/09/30/il-parco-termale-a-san-gemini-potrebbe-arrivare-in-2-3-anni_94f0e77c-b836-47bf-b2f3-93e869301543.html
