entity,number of mentiones,number of articles,text_ids,urls
USA-Italia,4,2,"text136
 text138","https://www.ildenaro.it/consolato-usa-di-firenze-nuovi-servizi-per-gli-studenti-fuori-sede/
 https://www.lanazione.it/firenze/cronaca/da-firenze-agli-usa-il-progetto-che-punta-a-fare-degli-studenti-stranieri-dei-cittadini-c70189f2"
Ministro,3,2,"text15
 text10","https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
 https://www.affaritaliani.it/economia/al-via-il-progetto-per-dare-nuova-vita-a-43-borghi-tra-sicilia-e-calabria-917054.html?ref=ig"
Randstad,3,1,text12,https://www.lagazzettadelmezzogiorno.it/news/matera/1368415/aliano-e-tursi-il-mondo-e-qui-il-southworking-per-ripopolare-i-borghi.html
casa a 1 Euro,3,2,"text20
 text115","https://www.ilgiornaledivicenza.it/oltre-vicenza/italia/casa-a-un-euro-per-un-anno-oltre-100mila-i-candidati-per-vivere-a-sambuca-in-sicilia-1.9304974
 https://www.ansa.it/sicilia/notizie/speciali/2022/06/28/famiglia-francese-soggiorna-un-anno-gratis-in-sicilia-con-airbnb_1f3e6955-39a4-402e-b960-e2d31ecee44a.html"
Istat,3,3,"text150
 text114
 text21","https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
 https://www.giornaledicalabria.it/?p=314812
 https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi"
associazione italiana nomadi Digitale,3,3,"text32
 text91
 text36","https://www.unionesarda.it/3-minuti-con/i-nomadi-digitali-amano-il-mare-i-borghi-e-la-cultura-ri5p9ikf
 https://www.ansa.it/sito/notizie/economia/2022/04/08/turismo-cresce-tribu-nomadi-digitali-3-su-4-scelgono-il-sud_64da9400-4c5f-4c19-bf8a-633b48c21156.html
 https://www.ilfattoquotidiano.it/2022/03/18/il-nomade-digitale-entra-nel-nostro-ordinamento-ecco-le-regole-per-i-remote-worker-di-paesi-esteri/6530419/"
ANSA Clarese Partis,3,3,"text39
 text40
 text69","https://gazzettadelsud.it/articoli/societa/2023/09/02/in-smart-working-a-ollolai-in-sardegna-richieste-da-tutto-il-mondo-f6158884-051a-4624-a64c-2a41776dc993/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_nazionale
 https://www.ansa.it/sardegna/notizie/2023/09/01/in-smart-working-a-ollolai-richieste-da-tutto-il-mondo_aace74c2-aea8-4e33-a15f-bedcda4a69d4.html
 https://www.ilgazzettino.it/economia/news/lavoro_smart_working_sardegna_di_cosa_si_tratta_ollolai_barbagia_nomade_digitale-7606018.html"
Fondazione Venezia,3,1,text43,https://www.agi.it/lifestyle/news/2022-03-01/remote-working-venezia-smart-working-progetto-venywhere-15801713/
Nomadi digitali,3,4,"text57
 text51
 text45
 text17","https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2023/09/26/nomadi-digitali-ormai-una-comunita-di-35-milioni-nel-mondo_df41cdfc-8fd8-4a9f-80e1-ef9ef07cf0ff.html
 https://www.ansa.it/canale_lifestyle/notizie/societa_diritti/2024/02/28/nomadi-digitali-fuori-dagli-stereotipi-tutto-sul-fenomeno-che-cambia_034dc501-5197-4848-bbd7-d236cf12c8c1.html
 https://www.ilfattoquotidiano.it/2023/04/11/la-sfida-della-toscana-rilanciare-in-chiave-smart-economia-dei-territori-e-stili-di-vita/7120957/
 https://www.ilfattoquotidiano.it/2021/05/04/pnrr-linnovazione-tecnologica-non-basta-bisogna-diffondere-una-cultura-digitale/6186304/"
M5S,3,3,"text88
 text47
 text58","https://www.corriere.it/economia/lavoro/22_aprile_13/smart-working-norma-attirare-stranieri-visto-lavorativo-un-anno-32e08a64-baf0-11ec-818b-cbb6b2b517fa.shtml
 https://www.ilsole24ore.com/art/lavoro-nomadi-digitali-norma-attirare-talenti-dall-estero-AEHtWhNB
 https://www.ansa.it/sito/notizie/economia/2022/04/29/nomadi-digitali-una-norma-per-lanciare-trend-in-italia_85da3e80-73fa-4b02-9d86-1104db723e2f.html"
